buyer_key,buyer_name,n_live_contracts,expected_renewals_12m,expected_renewals_24m,max_p12,high_risk_contracts
SIREN:198513905,LYCEE POLYVALENT LEONARD DE VINCI,6,0.1561039285155274,0.2735100292193251,0.0408914189749279,0
SIRET:21490328800014,Ville de Saumur (49),4,0.1550542515185434,0.2693586297364146,0.0392137272178145,0
SIREN:287200265,SDIS de la Sarthe,5,0.1423195116034088,0.2487594439777334,0.0394633459991604,0
SIREN:200069474,COMMUNE DE OMBREE D ANJOU,4,0.13869590995151979,0.2414728765006877,0.0416447068088344,0
SIREN:214401432,Ville de Rezé,6,0.1385195869601357,0.2434930793242782,0.028319530989338,0
SIREN:200083392,Laval Agglomération,5,0.13776262075676599,0.2410821955083729,0.0387502497324432,0
SIREN:214401432,COMMUNE DE REZE,5,0.1365002801271907,0.2388827383112358,0.0354440081145853,0
NAME:com agglo reg nazairienne estuaire,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,5,0.1355813842519506,0.23751388602939771,0.0318936161373568,0
NAME:crous nantes,CROUS de Nantes,5,0.1296245472248302,0.2270616838570411,0.0319048530929331,0
NAME:ccir pays loire,CCIR Pays de la Loire,8,0.1294922496373153,0.2288109027609378,0.0214035802730341,0
SIREN:353686934,CAP ATLANTIQUE,4,0.1291945716512606,0.2252137068663293,0.0398957641246426,0
SIRET:77811608700157,BATIMENT CFA NORMANDIE,3,0.1260942980266136,0.2184175002217878,0.0487027703835794,0
SIREN:214400475,Mairie de Coueron,5,0.122646310962894,0.2153711088822918,0.0278807621860928,0
NAME:regie dept passages eau vendee,Régie Dépt Passages d'Eau de Vendée,6,0.1210623767654327,0.2132988654278393,0.0244757615979901,0
SIREN:529260903,SOCIETE PUBLIQUE REGIONALE ABBAYE DE FONTEVRAUD,3,0.1198167720004031,0.2079550655501844,0.040533485648648,0
NAME:e collectivites vendee,e-Collectivités Vendée,5,0.1193909723209595,0.20962074728352,0.0318487065763398,0
SIREN:225300011,Conseil départemental de la Mayenne,5,0.11858757505656099,0.2082919279888631,0.0310498494943929,0
SIREN:214402042,Ville de Thouaré-sur-Loire,4,0.1182564425884467,0.20665873499331192,0.0392012090020936,0
NAME:cdc pays saint gilles cx vie,CDC du Pays de Saint Gilles Cx de Vie,7,0.1166089367094223,0.2059623426692376,0.0226256813267585,0
SIRET:21440162200011,Mairie de Saint-Herblain,3,0.1163462215575365,0.2021129869962412,0.0390082766045161,0
NAME:ville orvault,Ville d'Orvault,7,0.1138596176949566,0.2012295519704361,0.0201236275104403,0
SIREN:264900390,Centre Hospitalier de Cholet,5,0.1118804347654399,0.1967902999342614,0.0248756931419275,0
SIREN:214900995,Ville de Cholet,4,0.1114710580047004,0.1950123726114017,0.0369488280204458,0
SIREN:248500589,LA ROCHE-SUR-YON AGGLOMERATION,4,0.11125668165033831,0.1947624400744118,0.0328146659999142,0
SIREN:234400034,préfet de la région Pays de la Loire,3,0.1111478081266726,0.1932158354357453,0.0446181130220523,0
SIREN:865800767,Loire Ocean developpement,4,0.1090128438360852,0.1905729625279361,0.0365879999457472,0
NAME:sec gal adm min interieur ouest,SEC GAL POUR L ADM MIN INTERIEUR OUEST,5,0.1089161855857825,0.19158146013633298,0.0276214230033127,0
SIRET:13003051300019,Université de Rennes,3,0.1087702510374266,0.1892698975775586,0.0392000202958775,0
SIRET:24440040400129,Nantes métropole,3,0.10844292782198539,0.1887118406337126,0.0387639469921351,0
NAME:gie epl vendee,GIE des EPL de Vendée,4,0.1073158998234049,0.1880118332936872,0.0318711537070138,0
NAME:spr pays loire,SPR Pays de la Loire,4,0.10491507851794679,0.183987934514008,0.0298464375919403,0
SIREN:200054336,COMMUNE DE MAUGES SUR LOIRE,4,0.1045009065237329,0.1831160924338447,0.034761968254968,0
SIREN:258500222,Vendée Eau,4,0.1043562738416656,0.182732449387595,0.0393393969189351,0
SIREN:218501914,VILLE DE LA ROCHE SUR YON,3,0.1030827116696059,0.179503003172825,0.0391738081470915,0
