contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:16-48232,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2016-03-31,48.0,2020-03-31,0.02842242252115479,0.04977004853685574,Low,duration imputed,False,72.0,1,57.23,LogLogisticAFT
BOAMP:16-46830,SIREN:194909701,Université d'Angers,194909701,,SIREN_ENRICHED,Telecom & Networks,2016-06-16,36.0,2019-06-16,0.027831493721524825,0.04875755606795573,Low,model-estimated recurrence probability,False,32.0,0,120.73,LogLogisticAFT
BOAMP:16-54252,SIREN:200054302,MONTREVAULT-SUR-ÈVRE,200054302,,SIREN_ENRICHED,Software & Applications,2016-04-15,12.0,2017-04-15,0.02888782558950531,0.05056681532622809,Low,model-estimated recurrence probability,True,48.0,0,122.77,LogLogisticAFT
BOAMP:16-53642,NAME:cci maine loire,CCI de Maine et Loire,,,NAME,Unknown,2016-07-18,48.0,2020-07-18,0.015949191219072012,0.02820029467230689,Low,duration imputed,False,79.0,0,119.68,LogLogisticAFT
BOAMP:16-54197,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Software & Applications,2016-04-17,48.0,2020-04-17,0.019387380714712688,0.03418771898157025,Low,model-estimated recurrence probability,False,48.0,0,122.7,LogLogisticAFT
BOAMP:16-54370,SIREN:794304097,Nantes Métropole,794304097,,SIREN_ENRICHED,Software & Applications,2016-04-17,48.0,2020-04-17,0.019387380714712688,0.03418771898157025,Low,model-estimated recurrence probability,False,48.0,0,122.7,LogLogisticAFT
BOAMP:16-55219,SIREN:225300011,Conseil départemental de la Mayenne,225300011,,SIREN_ENRICHED,Telecom & Networks,2016-04-18,48.0,2020-04-18,0.024374561902707592,0.04281588515212009,Low,model-estimated recurrence probability,False,32.0,0,122.67,LogLogisticAFT
BOAMP:16-34964,SIREN:173501115,Cour d'Appel de Rennes,173501115,,SIREN_ENRICHED,Cybersecurity,2016-04-19,48.0,2020-04-19,0.023426926993440622,0.04118155122754219,Low,duration imputed,False,35.0,0,122.63,LogLogisticAFT
BOAMP:16-55493,NAME:ccas angers,CCAS d'Angers,,,NAME,Software & Applications,2016-04-19,14.0,2017-06-19,0.020079451396176173,0.035389050194028826,Low,model-estimated recurrence probability,False,48.0,0,122.63,LogLogisticAFT
BOAMP:16-56502,NAME:caf somme,CAF de la Somme,,,NAME,Digital Workplace & Collaboration,2016-04-22,60.0,2021-04-22,0.015936903116130607,0.028178837957513636,Low,model-estimated recurrence probability,False,72.0,0,122.54,LogLogisticAFT
