contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,data_quality_flags,prediction_date
BOAMP:19-88976,NAME:com agglo reg nazairienne estuaire,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,,,NAME,Cybersecurity,2019-09-20,5.0,2020-02-20,0.0283974480069268,0.0497272761349,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:19-160506,SIREN:200054336,COMMUNE DE MAUGES SUR LOIRE,200054336,,SIREN_ENRICHED,Cybersecurity,2020-01-09,36.0,2023-01-09,0.0283596098661864,0.0496624697990801,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:20-9474,SIREN:935367433,Conseil départemental Loire-Atlantique,935367433,,SIREN_ENRICHED,Cybersecurity,2020-01-21,36.0,2023-01-21,0.0283596098661864,0.0496624697990801,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:16-153677,SIREN:214401432,Ville de Rezé,214401432,,SIREN_ENRICHED,Cybersecurity,2016-10-20,36.0,2019-10-20,0.028319530989338,0.0495938215630883,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-88046,NAME:audencia eesc,AUDENCIA EESC,,,NAME,Telecom & Networks,2025-08-02,4.0,2025-12-02,0.0282775570189506,0.0495219227963162,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:17-35545,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,Software & Applications,2017-07-28,14.0,2018-09-28,0.0282678751813513,0.0495053377561567,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:23-31948,NAME:soc publique reg abe fontevraud,SOC PUBLIQUE REG ABE DE FONTEVRAUD,,,NAME,Telecom & Networks,2023-05-11,4.0,2023-09-11,0.0282575670152661,0.0494876795390042,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:23-56091,NAME:ubs,UBS,,,NAME,Telecom & Networks,2023-04-26,4.0,2023-08-26,0.0282575670152661,0.0494876795390042,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:22-28887,NAME:soc publique reg abe fontevraud,SOC PUBLIQUE REG ABE DE FONTEVRAUD,,,NAME,Telecom & Networks,2022-04-22,4.0,2022-08-22,0.0282475771592423,0.0494705663285709,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:20-56877,NAME:ville ecouflant,Ville d'Ecouflant,,,NAME,Telecom & Networks,2020-04-24,4.0,2020-08-24,0.0282276077333074,0.0494363567360179,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:18-87467,NAME:sna ouest,SNA/ouest,,,NAME,Telecom & Networks,2018-08-09,4.0,2018-12-09,0.0282076520148277,0.0494021695703771,Low,model-estimated recurrence probability,False,name_fallback_buyer_key;missing_siren_siret;,2026-07-09
BOAMP:19-163024,SIREN:391722881,GIE SESAM Vitale,391722881,,SIREN_ENRICHED,IT Services & Consulting,2020-08-03,54.0,2025-02-03,0.0281989658458445,0.0493872885188942,Low,model-estimated recurrence probability,False,,2026-07-09
