contract_id,source,buyer_key,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id
DECP:234400034000262022S00082,DECP,SIRET:23440003400026,72,CAT02,IT Services & Consulting,2022-07-08,24.0,0,29.8,,none,
DECP:234400034000262022F00063,DECP,SIRET:23440003400026,48,CAT01,Software & Applications,2022-07-08,12.0,1,17.67,24349.0,decp_jaccard,DECP:234400034000262023F00228
DECP:482414216000442022CDB-15000000,DECP,SIRET:48241421600044,32,CAT04,Telecom & Networks,2022-07-11,1.0,0,29.7,3627.88,none,
DECP:234400034000262022S00064,DECP,SIRET:23440003400026,48,CAT01,Software & Applications,2022-07-11,48.0,0,29.7,,none,
DECP:214401093000152022F00036,DECP,SIRET:21440109300015,35,CAT03,Cybersecurity,2022-07-11,61.0,0,29.7,,none,
DECP:31468496000045202222C0205600,DECP,SIRET:31468496000045,72,CAT02,IT Services & Consulting,2022-07-12,1.0,1,3.75,10800.0,decp_jaccard,DECP:31468496000045202222C0210200
DECP:2272000290001420191915010,DECP,SIRET:22720002900014,72,CAT02,IT Services & Consulting,2022-07-12,48.0,0,29.66,8000000.0,none,
DECP:244900015000452022A22211E00,DECP,SIRET:24490001500045,35,CAT03,Cybersecurity,2022-07-12,3.0,0,29.66,43724.2,none,
DECP:244900015000452022A22211E01,DECP,SIRET:24490001500045,35,CAT03,Cybersecurity,2022-07-12,3.0,0,29.66,43724.2,none,
DECP:2444006440001320220524101601,DECP,SIRET:24440064400013,72,CAT02,IT Services & Consulting,2022-07-13,16.0,1,11.89,90000.0,decp_jaccard,DECP:2444006440001320220524101603
