contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:16-81907,BOAMP,SIREN:244900015,72.0,Cybersecurity,2016-11-28,48.0,0,97.08,97.08,,,646000.0,OUVERT,SERVICES,True,2020-11-28,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-81846,BOAMP,NAME:nantes metropole habitat,48.0,Software & Applications,2016-09-27,48.0,0,99.11,99.11,,,300000.0,OUVERT,SERVICES,False,2020-09-27,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-83013,BOAMP,NAME:dir ouest,72.0,IT Services & Consulting,2017-01-26,48.0,0,95.14,95.14,,,,OUVERT,SERVICES,False,2021-01-26,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-79523,BOAMP,SIREN:214401846,30.0,IT Hardware & Equipment,2016-10-03,12.0,0,98.92,98.92,,,,OUVERT,FOURNITURES,False,2017-10-03,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-84729,BOAMP,SIREN:228500013,72.0,Digital Workplace & Collaboration,2016-09-13,48.0,0,99.57,99.57,,,,PROCEDURE_ADAPTE,SERVICES,True,2020-09-13,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-85552,BOAMP,SIREN:234400034,35.0,Cybersecurity,2016-10-14,12.0,0,98.55,98.55,,,,PROCEDURE_ADAPTE,,False,2017-10-14,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-85545,BOAMP,NAME:crous de nantes,32.0,IT Hardware & Equipment,2016-06-11,48.0,0,102.66,102.66,,,,OUVERT,FOURNITURES,False,2020-06-11,publication_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-85662,BOAMP,SIREN:234400034,72.0,GIS & Mapping,2016-10-14,6.0,0,98.55,98.55,,,41700.0,OUVERT,SERVICES,False,2017-04-14,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-85619,BOAMP,SIREN:234400034,32.0,Telecom & Networks,2016-10-12,48.0,0,98.62,98.62,,,300000.0,OUVERT,FOURNITURES,False,2020-10-12,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-80474,BOAMP,NAME:com communes du pays d ancenis,48.0,Software & Applications,2016-12-30,48.0,0,96.02,96.02,,,,OUVERT,SERVICES,False,2020-12-30,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
BOAMP:16-92101,BOAMP,SIREN:194401006,72.0,IT Services & Consulting,2016-10-12,41.0,0,98.62,98.62,,,,NEGOCIE,SERVICES,False,2020-03-13,attribution_award_date,none,,,,,,0,0,0,,,,0,False,False,strict,calibrated_strict,1
