buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
NAME:de nantes,,CHU de Nantes,BOAMP,,,
NAME:de saumur,,Centre hospitalier de Saumur,BOAMP,,,
NAME:des pays de la loire,,Conseil régional des Pays de la Loire,BOAMP,,,
NAME:dir interdepartementale routes ouest,,DIR INTERDEPARTEMENTALE ROUTES OUEST,BOAMP,,,
NAME:dir ouest,,DIR Ouest,BOAMP,,,
NAME:dreal pays de la loire,,DREAL Pays de la Loire,BOAMP,,,
NAME:du maine et loire,,SDIS du Maine et Loire,BOAMP,,,
NAME:du marais poitevi,,ETABLISSEMENT PUBLIC DU MARAIS POITEVI,BOAMP,,,
NAME:e collectivites vendee,,e-Collectivités Vendée,BOAMP,,,
NAME:ecole centrale de nantes,,Ecole Centrale de Nantes,BOAMP,,,
NAME:ecole des mines de nantes,,Ecole des Mines de Nantes,BOAMP,,,
NAME:epsilon centrale d achat informatique,,EPSILON CENTRALE D'ACHAT INFORMATIQUE,BOAMP,,,
NAME:esat foyers,,ESAT Foyers,BOAMP,,,
NAME:fondation partenariale polytech,,FONDATION PARTENARIALE POLYTECH,BOAMP,,,
NAME:gcs esante pays de la loire,,GCS eSanté Pays de la Loire,BOAMP,,,
NAME:gie sesam vitale,,GIE SESAM Vitale,BOAMP,,,
NAME:gpm de nantes st nazaire,,GPM de Nantes - St Nazaire,BOAMP,,,
NAME:inra angers nantes,,INRA Angers Nantes,BOAMP,,,
NAME:inst interdpt bassin sevre niortaise,,Inst. Interdpt bassin Sèvre Niortaise,BOAMP,,,
NAME:iphv les hauts thebaudieres,,IPHV LES HAUTS THEBAUDIERES,BOAMP,,,
NAME:ircantec,,IRCANTEC,BOAMP,,,
NAME:la baule,,Commune de La Baule,BOAMP,,,
NAME:la cite des congres de nantes,,La Cité des Congrès de Nantes,BOAMP,,,
NAME:la garnache,,LA GARNACHE,BOAMP,,,
NAME:la mayenne,,DEPARTEMENT DE LA MAYENNE,BOAMP,,,
NAME:la roche sur yon,,Ville de La Roche-sur-Yon,BOAMP,,,
NAME:la roche sur yon agglomeration,,LA ROCHE-SUR-YON AGGLOMERATION,BOAMP,,,
NAME:la sarthe,,Département de la Sarthe,BOAMP,,,
NAME:la vendee,,Département de la Vendée,BOAMP,,,
NAME:laval agglomeration,,Laval Agglomération,BOAMP,,,
NAME:le mans,,CH LE MANS,BOAMP,,,
NAME:le mans metropole,443928874,Le Mans Métropole,BOAMP,,,
NAME:le mans metropole communaute urbaine,,Le Mans Métropole - Communauté Urbaine,BOAMP,,,
NAME:le pellerin,,commune de Le Pellerin,BOAMP,,,
NAME:loire atlantique,,Conseil départemental Loire-Atlantique,BOAMP,,,
NAME:loire ocean developpement,,Loire Ocean developpement,BOAMP,,,
NAME:loire vendee ocean,,Centre Hospitalier Loire Vendée Océan,BOAMP,,,
NAME:lycee polyvalent leonard de vinci,,LYCEE POLYVALENT LEONARD DE VINCI,BOAMP,,,
NAME:maine et loire,,Département de Maine-et-Loire,BOAMP,,,
NAME:maine loire habitat office pub habitat,,MAINE LOIRE HABITAT OFFICE PUB HABITAT,BOAMP,,,
NAME:mairie du croisic,,Mairie du croisic,BOAMP,,,
NAME:mash,,MASH,BOAMP,,,
NAME:mauges sur loire,,COMMUNE DE MAUGES SUR LOIRE,BOAMP,,,
NAME:metropole nantes metropole,,METROPOLE NANTES METROPOLE,BOAMP,,,
NAME:mindef dga dt scat,,MINDEF/DGA/DT/SCAT,BOAMP,,,
NAME:ministere des affaires etrangeres,,Ministère des Affaires étrangères,BOAMP,,,
NAME:montrevault sur evre,,MONTREVAULT-SUR-ÈVRE,BOAMP,,,
NAME:nantes,,Ville de Nantes,BOAMP,,,
NAME:nantes metropole,,Nantes Métropole,BOAMP,,,
NAME:nantes metropole habitat,,Nantes Métropole Habitat,BOAMP,,,
NAME:o p h le mans habitat,,O.P.H LE MANS HABITAT,BOAMP,,,
NAME:office public de l habitat,,Office Public de l'Habitat,BOAMP,,,
NAME:oniris,,ONIRIS,BOAMP,,,
NAME:orchestre national des pays de la loir,,Orchestre National des Pays de la Loir,BOAMP,,,
