buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
AUTORITE REGULATION ACTIVITES FERROVIA,autorite regulation activites ferrovia,NAME:autorite regulation activites ferrovia,75,Le Mans Cedex 02,72019,1,0,False,
LA ROCHE-SUR-YON AGGLOMERATION,la roche sur yon agglomeration,NAME:la roche sur yon agglomeration,85,La Roche-sur-Yon,85000,10,4,False,
Communauté Communes La Chataigneraie,communaute communes la chataigneraie,NAME:communaute communes la chataigneraie,85,La Châtaigneraie,85120,3,1,False,
La Cité des Congrès de Nantes,la cite des congres de nantes,NAME:la cite des congres de nantes,44,Nantes,44041,15,10,False,
Cté de Communes d'Erdre et Gesvres,cte de communes d erdre et gesvres,NAME:cte de communes d erdre et gesvres,44,Grandchamp des Fontaines,44119,2,2,False,
Ville d'Evron,ville d evron,NAME:ville d evron,53,EVRON,53600,2,1,False,
UniHA GCS,uniha gcs,NAME:uniha gcs,69,Lyon,69003,3,3,False,
GIP Vendée Numérique,gip vendee numerique,NAME:gip vendee numerique,85,La Roche sur Yon,85923,4,2,False,
LAVAL SPLA,laval spla,NAME:laval spla,53,Laval,53005,2,1,False,
SPIC - ARENA LOIRE TRELAZE,spic arena loire trelaze,NAME:spic arena loire trelaze,49,Trélazé,49800,3,2,False,
Réseau Canopé,reseau canope,NAME:reseau canope,86,Futuroscope cedex,86961,13,9,True,18004301001485
SYND DEP D ENERGIE ET D EQPT DE VENDEE,synd dep d energie et d eqpt de vendee,NAME:synd dep d energie et d eqpt de vendee,85,La Roche sur Yon,85036,8,5,False,
SDIS49,sdis49,NAME:sdis49,49,Beaucouzé,49071,19,9,False,
DEPARTEMENT DE LA SARTHE,la sarthe,NAME:la sarthe,72,Le Mans,72072,40,25,False,
AGCE POUR L ENST FR A L ETRANGER,agce pour l enst fr a l etranger,NAME:agce pour l enst fr a l etranger,75,Paris,75014,12,8,False,
ECOLE CENTRALE DE NANTES,ecole centrale de nantes,NAME:ecole centrale de nantes,44,NANTES Cedex 3,44321,1,1,False,
Le Voyage à Nantes,le voyage a nantes,NAME:le voyage a nantes,44,NANTES CEDEX1,44022,1,1,False,
ESAT Foyers,esat foyers,NAME:esat foyers,44,SAVENAY,44260,3,3,False,
Ville d'Arnage,ville d arnage,NAME:ville d arnage,72,Arnage,72230,2,2,False,
SNA/ouest,sna ouest,NAME:sna ouest,29,Bouguenais,44343,2,1,False,
CEREMA - DTerMed,cerema dtermed,NAME:cerema dtermed,13,Aix en provence cedex 3,13593,1,1,False,
Ville de Cholet,cholet,NAME:cholet,49,Cholet cedex,49321,9,5,False,
SPR Pays de la Loire,spr pays de la loire,NAME:spr pays de la loire,49,Nantes,44202,7,4,False,
ville de Sainte-Luce-sur-Loire,sainte luce sur loire,NAME:sainte luce sur loire,44,Sainte-Luce-sur-Loire,44981,2,1,False,
ville des Sables d'Olonne,ville des sables d olonne,NAME:ville des sables d olonne,85,Les Sables d'Olonne cedex,85108,1,1,False,
COMMUNE DE NANTES,nantes,NAME:nantes,44,Nantes,44094,15,9,False,
Université de La Rochelle,la rochelle,NAME:la rochelle,17,La rochelle,17031,4,3,False,
