buyer_name_raw,buyer_name_clean,buyer_key,dept_code,query_used,entity_type_detected,nature_juridique_filter,candidate_rank,candidate_siren,candidate_siret,candidate_name,candidate_naf,candidate_nature_juridique,candidate_city,candidate_postal_code,name_similarity,dept_match,enrichment_score
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,72,mans metropole communaute urbaine,EPCI,7340,1.0,247200132,24720013200014,LE MANS METROPOLE COMMUNAUTE URBAINE,84.11Z,7343,LE MANS,72000,100.0,True,100.0
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,72,mans metropole communaute urbaine,EPCI,7340,2.0,412238065,41223806500012,LE MANS EVENEMENTS,82.30Z,6901,LE MANS,72000,39.5,True,39.5
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,72,mans metropole communaute urbaine,EPCI,7340,3.0,834692402,83469240200011,CENOVIA CITES,74.90B,5599,LE MANS,72000,30.4,True,30.4
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,72,mans metropole communaute urbaine,EPCI,7340,4.0,277200036,27720003600196,OPH DE LA COMMUNAUTE URBAINE DU MANS (LE MANS METROPOLE HABITAT) (OPH),68.20A,4140,LE MANS,72100,83.9,True,83.9
Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,85,cte cnes ile noirmoutier,DEFAULT,,,,,,,,,,0.0,False,0.0
Conseil général de la Vendée,conseil general de la vendee,NAME:conseil general de la vendee,85,departement la vendee,DEPT,7220,1.0,228500013,22850001300658,DEPARTEMENT DE VENDEE,84.11Z,7220,LA ROCHE-SUR-YON,85000,52.7,True,52.7
Ville du Mans,ville du mans,NAME:ville du mans,72,ville mans,DEFAULT,,1.0,408864395,40886439500012,COMITE DE JUMELAGE DE LA VILLE DU MANS,94.99Z,9220,LE MANS,72000,63.6,True,63.6
Ville du Mans,ville du mans,NAME:ville du mans,72,ville mans,DEFAULT,,2.0,378526289,37852628900012,MUSIQUE MUNICIPALE DE LA VILLE DU MANS,90.01Z,9220,LE MANS,72000,59.3,True,59.3
Ville du Mans,ville du mans,NAME:ville du mans,72,ville mans,DEFAULT,,3.0,512022765,51202276500014,SYNDICAT DES COMMUNAUX DE LA VILLE DU MANS DE LA CUM ET DU CCAS,94.20Z,8410,LE MANS,72000,59.3,True,59.3
Ville du Mans,ville du mans,NAME:ville du mans,72,ville mans,DEFAULT,,4.0,343196887,34319688700016,ASS UNIONS COMMERC ARTISAN VILLE DU MANS,94.99Z,9220,LE MANS,72000,50.6,True,50.6
