src_idweb,src_buyer_key,src_cpv,src_contract_start,src_duration_months,src_objet,cand_idweb,cand_contract_start,cand_cpv,cand_objet,gap_months,buyer_match_score,cpv_match_score,cpv_used_in_score,text_similarity_score,temporal_proximity_score,composite_score
21-152470,SIREN:214401093,32320000.0,2021-11-17,24.0,"location, installation et mise en service de matériels de projection, de son et de câblages pour les élections : présidentielles, législatives de 2022 et les élections européennes de 2024",24-56228,2024-05-16,35811200.0,"Fourniture de vêtements et chaussures pour les agents de la Police Municipale, les agents de l?Unité Métropolitaine des Transports en Commun et de la Brigade de l?Espace Public",29.93,1.0,0.0,True,0.2099,0.012,0.2364
23-48831,SIREN:214401093,32322000.0,2023-04-12,6.0,"acquisition, installation et mise en service d'un ensemble d'équipements scénique et de vidéoprojection pour la salle de spectacle du centre socioculturel de bellevue",24-33685,2024-03-22,31500000.0,ACQUISITION DE MATÉRIELS POUR LES SALLES DE SPECTACLE,11.33,1.0,0.0,True,0.683,0.111,0.4454
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-62129,2017-05-04,72224000.0,Assistance à maîtrise d'ouvrage pour accompagner la gestion dématérialisée de l'offre régionale de formation professionnelle - Région Formation,21.45,1.0,0.2,True,0.385,0.5753,0.469
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-35759,2017-06-02,72267000.0,Antivirus et filtrage internet,22.4,1.0,0.2,True,0.4529,0.7341,0.528
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-102708,2017-07-18,48900000.0,"Le présent accord-cadre a pour objet de proposer aux agents ainsi qu'aux élus de la Région des Pays de la Loire de nouveaux outils plus interactifs, basés sur les Systèmes d'Information Géog",23.92,1.0,0.0,True,0.4642,0.986,0.5329
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-102923,2017-07-20,48000000.0,Parcours de formation stagiaires ou apprentis: application de dématérialisation des feuilles d'émargement et de suivi des participants,23.98,1.0,0.0,True,0.2446,0.9969,0.4472
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-44607,2017-07-21,48800000.0,Application de suivi et de gestion du patrimoine énergétique régional,24.01,1.0,0.0,True,0.4359,0.9976,0.5239
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-48788,2017-07-24,72200000.0,Maintenance et évolutions de l'infrastructure de sécurité informatique,24.11,1.0,0.2,True,0.5009,0.9812,0.5966
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-68186,2017-08-09,72000000.0,Accompagnement pour la mise en oeuvre du schéma directeur numérique de la Région des Pays de la Loire,24.64,1.0,0.2,True,0.4505,0.8936,0.5589
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-71849,2017-08-09,72212900.0,Prestation de service pour la gestion des différents pass jeunes de la Région,24.64,1.0,0.2,True,0.4315,0.8936,0.5513
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-77862,2017-10-04,34144700.0,"Conception, orgnisation et animation du dispositif ApprentiBus pour la promotion des métiers et de l'apprentissage en région Pays de la Loire",26.48,1.0,0.0,True,0.3625,0.5869,0.4124
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-85841,2017-10-23,48200000.0,Maintenance et développement de l'intranet,27.1,1.0,0.0,True,0.4864,0.4829,0.4411
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-173975,2017-12-13,48000000.0,"FOURNITURE LOGICIELLE, HÉBERGEMENT, EXPLOITATION ET MAINTENANCE APPLICATIVE DE L'ESPACE NUMÉRIQUE DE TRAVAIL (ENT) E-LYCO ET PRESTATIONS ASSOCIÉES",28.78,1.0,0.0,True,0.3999,0.2037,0.3507
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-140377,2017-12-14,72250000.0,Prestations d'assistance en administration de systèmes,28.81,1.0,0.2,True,0.4693,0.1982,0.4274
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-118765,2017-12-14,48600000.0,Fourniture d'une solution de gestion de données protocolaires,28.81,1.0,0.0,True,0.4636,0.1982,0.3751
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-120212,2017-12-15,72000000.0,Réalisation d'une application de signalement pour les usagers du TER,28.84,1.0,0.2,True,0.2745,0.1927,0.3484
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-179962,2017-12-21,45112500.0,Réfection de la station d'épuration et du réseau de défense incendie au lycée Luçon Pétré (85),29.04,1.0,0.0,True,0.2685,0.1599,0.2894
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-142035,2017-12-26,48000000.0,Parcours de formation stagiaires ou apprentis: application de dématérialisation des feuilles d'émargement et de suivi des participants,29.2,1.0,0.0,True,0.2446,0.1325,0.2743
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-114118,2017-12-28,48000000.0,Renouvellement et exploitation du système d'information multimodale DESTINEO en région des Pays de la Loire - Lot no2: Fourniture des différents médias,29.27,1.0,0.0,True,0.5028,0.1216,0.3754
15-32168,SIREN:234400034,72700000.0,2015-07-21,24.0,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",17-140948,2017-12-30,48000000.0,Renouvellement et exploitation du système d'information multimodale DESTINEO en Région des Pays de la Loire - Lot no3: Fourniture des outils back office,29.34,1.0,0.0,True,0.4913,0.1106,0.3686
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",18-128655,2019-01-11,72420000.0,REFONTE DES SITES INSTITUTIONNELS ET INTERNE DE LA REGION DES PAYS DE LA LOIRE,42.44,1.0,0.2,True,0.5592,0.074,0.4385
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-56150,2019-04-10,48000000.0,Fourniture de Licences logicielles Microsoft,45.37,1.0,0.0,True,0.2324,0.5613,0.3552
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-41115,2019-06-11,31625100.0,"Maintenance préventive et corrective des systèmes de sécurité incendie, des équipements d'alarme et des équipements de lutte contre l'incendie des services de l'État en région Pays de l",47.4,1.0,0.0,True,0.3277,0.9008,0.4612
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-32405,2019-06-27,35113430.0,Conception et acquisition de gilets haute visibilité normalisés à destination des élèves empruntant le transport scolaire dans la Région des Pays de la Loire,47.93,1.0,0.0,True,0.2558,0.9884,0.45
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-137030,2019-09-12,48000000.0,MISE A DISPOSITION D'UNE SOLUTION APPLICATIVE EN MODE SAAS PERMETTANT LA GESTION DES TEMPS ET DES ACTIVITES,50.46,1.0,0.0,True,0.3294,0.59,0.3997
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-174098,2019-11-21,72000000.0,Gestion de la relation avec les acteurs externes - Paramétrage et intégration du CRM Microsoft Dynamics 365 dans le système d'information de la Région des Pays de la Loire,52.76,1.0,0.2,True,0.5347,0.2067,0.4552
15-33752,SIREN:234400034,72310000.0,2015-06-29,48.0,"gestion des communautés web, à Nantes",19-128681,2019-12-11,72000000.0,PANORAMA NUMERIQUE DE PRESSE ET DES MEDIAS SOCIAUX,53.42,1.0,0.2,True,0.5337,0.0972,0.4329
