contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:17-178496,BOAMP:22-5921,1,0.4015,0.4015,0.3362,0.06530000000000002,2,False,False,0.5281,0.0,0.2013,48.0,52.79
BOAMP:17-179112,BOAMP:22-26998,1,0.4816,0.4816,0.4745,0.007099999999999995,11,False,False,0.3789,0.2,0.6502,48.0,50.1
BOAMP:18-265,BOAMP:19-32405,1,0.4321,0.4321,0.347,0.08510000000000001,5,False,False,0.2059,0.0,0.9985,12.0,11.99
BOAMP:18-546,BOAMP:19-176963,1,0.429,0.429,0.2838,0.1452,2,False,False,0.4975,0.0,0.4001,24.0,20.4
BOAMP:18-2518,BOAMP:18-159101,1,0.391,0.391,0.3628,0.028200000000000003,5,False,False,0.2565,0.0,0.6919,12.0,10.15
BOAMP:18-4239,,0,,,,,0,False,False,,,,12.0,81.44
BOAMP:18-6884,BOAMP:18-159101,1,0.4482,0.4482,0.4242,0.023999999999999966,5,False,False,0.4186,0.0,0.6535,12.0,9.92
BOAMP:18-6138,BOAMP:22-39410,1,0.9725,0.9725,0.9265,0.04600000000000004,2,False,False,1.0,1.0,0.8625,48.0,47.17
BOAMP:18-3854,,0,,,,,0,False,False,,,,3.0,80.88
BOAMP:18-8070,BOAMP:20-66280,1,0.473,0.473,0.4213,0.05169999999999997,4,False,False,0.3663,0.2,0.6323,36.0,38.21
BOAMP:18-8615,,0,,,,,0,False,False,,,,48.0,83.34
BOAMP:18-8280,,0,,,,,0,False,False,,,,48.0,79.99
BOAMP:18-8879,BOAMP:20-16671,1,0.6408,0.6408,0.5291,0.11170000000000002,5,False,False,0.4975,0.4,0.9593,24.0,24.24
BOAMP:18-10415,BOAMP:20-111877,1,0.4678,0.4678,0.3917,0.0761,2,False,False,0.409,0.0,0.7711,30.0,31.37
BOAMP:18-9170,,0,,,,,0,False,False,,,,48.0,83.21
BOAMP:18-11225,BOAMP:22-94904,1,0.771,0.771,0.6005,0.17049999999999998,13,False,True,0.868,1.0,0.1191,48.0,53.29
BOAMP:18-12557,,0,,,,,0,False,False,,,,12.0,83.08
BOAMP:18-12119,BOAMP:22-72517,1,0.6646,0.6646,0.6192,0.045399999999999996,14,False,False,0.8547,0.0,0.8638,48.0,48.82
BOAMP:18-13131,BOAMP:21-23663,1,0.358,0.358,,,1,True,False,0.2119,0.0,0.6159,39.0,36.7
BOAMP:18-13243,BOAMP:22-35499,1,0.5351,0.5351,0.4427,0.09240000000000004,7,False,False,0.5672,0.0,0.7913,48.0,46.75
BOAMP:18-14081,,0,,,,,0,False,False,,,,48.0,82.92
BOAMP:18-15680,BOAMP:22-94408,1,0.3984,0.3984,0.3561,0.04229999999999995,3,False,False,0.4036,0.2,0.1848,48.0,52.89
BOAMP:18-17886,BOAMP:18-133090,1,0.4253,0.4253,0.4201,0.005200000000000038,4,False,False,0.4528,0.2,0.221,12.0,7.33
BOAMP:18-18750,,0,,,,,0,False,False,,,,12.0,82.72
BOAMP:18-18602,BOAMP:21-96695,1,0.3022,0.3022,,,1,True,False,0.2997,0.0,0.1616,48.0,42.97
BOAMP:18-21470,,0,,,,,0,False,False,,,,48.0,78.88
BOAMP:18-22345,,0,,,,,0,False,False,,,,12.0,82.42
BOAMP:18-22305,,0,,,,,0,False,False,,,,12.0,82.42
BOAMP:18-25344,,0,,,,,0,False,False,,,,3.0,82.29
BOAMP:18-25585,BOAMP:17-161006,1,0.4378,0.4378,0.4335,0.004300000000000026,3,False,False,0.4749,0.0,0.4893,12.0,8.94
BOAMP:18-26430,BOAMP:22-74813,1,0.7647,0.7647,0.6513,0.11340000000000006,6,False,True,0.6742,1.0,0.475,48.0,51.15
BOAMP:18-26654,,0,,,,,0,False,False,,,,48.0,66.03
BOAMP:18-26824,BOAMP:19-1779,1,0.6772,0.6772,0.5179,0.1593,9,False,False,0.4338,0.8,0.7685,12.0,10.61
