buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
Ville de Château-Gontier,ville chateau gontier,200084655,20008465500014,previous_high_confidence_cache,HIGH,matched,93.2,35.0,2,COMMUNE DE CHATEAU-GONTIER-SUR-MAYENNE,seeded from existing high-confidence buyer enrichment
Ville de LE POULIGUEN,ville pouliguen,214401358,21440135800095,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DU POULIGUEN,seeded from existing high-confidence buyer enrichment
Ville de La Baule Escoublac,ville baule escoublac,214400558,21440055800018,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LA BAULE-ESCOUBLAC,seeded from existing high-confidence buyer enrichment
Ville de La Roche sur Yon (85),ville roche yon 85,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,61.1,,1,COMMUNE DE LA ROCHE-SUR-YON,query=commune la roche sur yon 85
Ville de La Roche-sur-Yon,ville roche yon,218501914,21850191400566,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LA ROCHE-SUR-YON,seeded from existing high-confidence buyer enrichment
Ville de La Rochelle,ville rochelle,211703004,21170300400013,previous_high_confidence_cache,HIGH,matched,100.0,31.1,3,COMMUNE DE LA ROCHELLE,seeded from existing high-confidence buyer enrichment
Ville de Lagord,ville lagord,211702006,21170200600019,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LAGORD,seeded from existing high-confidence buyer enrichment
Ville de Larmor-plage,ville larmor plage,215601071,21560107100016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE LARMOR PLAGE,seeded from existing high-confidence buyer enrichment
Ville de Le Pouliguen,ville pouliguen,214401358,21440135800095,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DU POULIGUEN,seeded from existing high-confidence buyer enrichment
Ville de Luçon (85),ville lucon 85,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=commune lucon 85
Ville de Montaigu-Vendée,ville montaigu vendee,200081115,20008111500012,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE MONTAIGU-VENDEE,seeded from existing high-confidence buyer enrichment
Ville de NANTES,ville nantes,214401093,21440109300015,previous_high_confidence_cache,HIGH,matched,100.0,27.0,8,COMMUNE DE NANTES,seeded from existing high-confidence buyer enrichment
Ville de Nantes,ville nantes,214401093,21440109300015,previous_high_confidence_cache,HIGH,matched,100.0,27.0,8,COMMUNE DE NANTES,seeded from existing high-confidence buyer enrichment
Ville de Noyal-Châtillon sur Seiche,ville noyal chatillon seiche,213503642,21350364200018,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE NOYAL CHATILLON SUR SEICHE,seeded from existing high-confidence buyer enrichment
Ville de Parthenay,ville parthenay,217902022,21790202200011,previous_high_confidence_cache,HIGH,matched,100.0,12.9,4,COMMUNE PARTHENAY,seeded from existing high-confidence buyer enrichment
Ville de Pornichet,ville pornichet,214401325,21440132500011,previous_high_confidence_cache,HIGH,matched,100.0,41.0,2,COMMUNE DE PORNICHET,seeded from existing high-confidence buyer enrichment
Ville de Rezé,ville reze,214401432,21440143200015,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE REZE,seeded from existing high-confidence buyer enrichment
Ville de Saint Gilles Croix de Vie (85),ville saint gilles croix vie 85,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=commune saint gilles croix de vie 85
Ville de Saint Sébastien sur Loire,ville saint sebastien loire,214401903,21440190300155,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINT-SEBASTIEN-SUR-LOIRE,seeded from existing high-confidence buyer enrichment
Ville de Saint-Hilaire-de-Riez,ville saint hilaire riez,218502268,21850226800012,previous_high_confidence_cache,HIGH,matched,100.0,42.2,4,COMMUNE DE SAINT-HILAIRE-DE-RIEZ,seeded from existing high-confidence buyer enrichment
Ville de Saint-Malo,ville saint malo,213502883,21350288300019,previous_high_confidence_cache,HIGH,matched,100.0,6.3,2,COMMUNE DE SAINT MALO,seeded from existing high-confidence buyer enrichment
Ville de Saumur (49),ville saumur 49,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=commune saumur 49
